Tahun;Kabupaten_Kota;Kawasan;IPM;Persentase_Miskin;PDRB_Per_Kapita;UHH;HLS;RLS;APS_SMA;Gini_Ratio;TPT;Garis_Kemiskinan;Pengeluaran_Per_Kapita
2019;Pacitan;Mataraman;68.16;13.67;28.734;71.77;12.62;7;76.12;0.398;0.91;283321;9.033
2020;Pacitan;Mataraman;69.28;14.54;26.972;74.01;12.64;8;77.61;0.351;2.28;296271;8.796
2021;Pacitan;Mataraman;69.45;15.11;27.932;74.09;12.65;8;76.94;0.337;2.04;309655;8.887
2022;Pacitan;Mataraman;70.19;13.80;30.627;74.35;12.66;8;78.45;0.338;3.65;327758;9.184
2023;Pacitan;Mataraman;70.94;13.65;33.149;74.58;12.68;8;79.06;0.352;1.83;352606;9.681
2024;Pacitan;Mataraman;71.49;13.08;35.096;74.74;12.69;8;84.81;0.327;1.56;370643;10.099
2019;Ponorogo;Mataraman;70.56;9.64;23.423;72.65;13.72;7;77.5;0.346;3.5;313175;9.883
2020;Ponorogo;Mataraman;71.57;9.95;21.654;74.49;13.73;8;78.66;0.38;4.45;326205;9.670
2021;Ponorogo;Mataraman;71.81;10.26;22.432;74.55;13.74;8;80.74;0.369;4.38;341090;9.851
2022;Ponorogo;Mataraman;72.59;9.32;24.094;74.81;13.76;8;78.18;0.336;5.51;362461;10.199
2023;Ponorogo;Mataraman;73.18;9.53;26.314;75.07;13.77;8;79.36;0.341;4.66;395069;10.658
2024;Ponorogo;Mataraman;73.70;9.11;28.088;75.28;13.78;8;83.84;0.326;4.19;413619;11.065
2019;Trenggalek;Malang Raya & Lainnya;69.46;10.98;26.634;73.59;12.25;7;76.78;0.372;3.36;323787;9.865
2020;Trenggalek;Malang Raya & Lainnya;70.10;11.62;25.087;74.58;12.35;8;78.7;0.379;4.11;340915;9.630
2021;Trenggalek;Malang Raya & Lainnya;70.40;12.14;26.160;74.65;12.47;8;77.96;0.335;3.53;358831;9.743
2022;Trenggalek;Malang Raya & Lainnya;71.28;10.96;28.309;74.91;12.50;8;84.99;0.331;5.37;381448;10.042
2023;Trenggalek;Malang Raya & Lainnya;71.96;10.63;30.681;75.16;12.62;8;83.34;0.336;4.52;411527;10.465
2024;Trenggalek;Malang Raya & Lainnya;72.47;10.50;32.726;75.35;12.63;8;81.14;0.35;3.9;434146;10.872
2019;Tulungagung;Malang Raya & Lainnya;72.62;6.74;37.725;73.95;13.15;8;78.54;0.304;3.29;341651;10.891
2020;Tulungagung;Malang Raya & Lainnya;73.15;7.33;35.143;74.41;13.31;8;79.72;0.336;4.61;362213;10.705
2021;Tulungagung;Malang Raya & Lainnya;73.29;7.51;36.688;74.47;13.32;8;79.99;0.327;4.91;374183;10.807
2022;Tulungagung;Malang Raya & Lainnya;74.14;6.71;40.069;74.73;13.33;9;78.21;0.342;6.65;391888;11.162
2023;Tulungagung;Malang Raya & Lainnya;74.65;6.53;43.297;74.99;13.34;9;78.12;0.328;5.65;423875;11.565
2024;Tulungagung;Malang Raya & Lainnya;75.13;6.28;46.009;75.20;13.36;9;82.04;0.321;4.12;447793;11.966
2019;Blitar;Malang Raya & Lainnya;70.57;8.94;31.388;73.39;12.45;7;68.8;0.333;3.05;318534;10.861
2020;Blitar;Malang Raya & Lainnya;71.02;9.33;29.490;74.54;12.46;7;70.33;0.348;3.82;325675;10.654
2021;Blitar;Malang Raya & Lainnya;71.48;9.65;30.683;74.60;12.63;8;70.46;0.353;3.66;335573;10.757
2022;Blitar;Malang Raya & Lainnya;72.25;8.71;33.285;74.86;12.64;8;68.57;0.335;5.45;355511;11.001
2023;Blitar;Malang Raya & Lainnya;72.84;8.69;35.812;75.12;12.65;8;69.63;0.36;4.91;387733;11.499
2024;Blitar;Malang Raya & Lainnya;73.44;8.16;37.811;75.32;12.67;8;73.67;0.353;4.77;408399;12.020
2019;Kediri;Malang Raya & Lainnya;71.85;10.42;26.152;72.54;12.88;8;80.98;0.299;3.58;305491;11.146
2020;Kediri;Malang Raya & Lainnya;72.80;11.40;24.885;74.27;13.15;8;81.83;0.325;5.24;324215;11.000
2021;Kediri;Malang Raya & Lainnya;73.31;11.64;25.867;74.30;13.44;8;81.84;0.33;5.15;335990;11.127
2022;Kediri;Malang Raya & Lainnya;74.20;10.65;28.035;74.58;13.61;8;85.24;0.329;6.83;353033;11.565
2023;Kediri;Malang Raya & Lainnya;74.68;10.72;30.193;74.85;13.62;8;84.4;0.306;5.79;385874;11.952
2024;Kediri;Malang Raya & Lainnya;75.18;9.95;32.339;75.07;13.63;8;81.87;0.3;5.1;403621;12.388
2019;Malang;Malang Raya & Lainnya;70.35;9.47;39.780;72.45;13.17;7;60.55;0.382;3.7;329512;10.270
2020;Malang;Malang Raya & Lainnya;71.24;10.15;38.495;74.56;13.18;7;62.25;0.371;5.49;338156;10.028
2021;Malang;Malang Raya & Lainnya;71.48;10.50;40.057;74.61;13.24;7;65.48;0.367;5.4;348695;10.163
2022;Malang;Malang Raya & Lainnya;72.23;9.55;43.581;74.88;13.38;8;64.52;0.368;6.57;367579;10.326
2023;Malang;Malang Raya & Lainnya;73.00;9.45;47.272;75.14;13.48;8;65.84;0.378;5.7;399647;10.791
2024;Malang;Malang Raya & Lainnya;73.53;8.98;50.593;75.34;13.49;8;71.45;0.343;5.13;420334;11.190
2019;Lumajang;Tapal Kuda;65.33;9.49;31.293;69.94;11.80;6;52.26;0.295;2.73;296633;9.274
2020;Lumajang;Tapal Kuda;67.04;9.83;28.707;73.83;11.81;6;52.7;0.297;3.36;318196;9.088
2021;Lumajang;Tapal Kuda;67.65;10.05;29.939;73.90;11.88;7;55.42;0.309;3.51;334906;9.203
2022;Lumajang;Tapal Kuda;68.48;9.06;32.384;74.17;12.02;7;53;0.349;4.97;352776;9.466
2023;Lumajang;Tapal Kuda;69.37;8.93;35.178;74.41;12.16;7;59.1;0.391;3.67;386995;9.720
2024;Lumajang;Tapal Kuda;70.31;8.65;37.579;74.57;12.41;7;64.7;0.363;3.28;405136;10.124
2019;Jember;Tapal Kuda;66.69;9.25;31.498;68.99;13.22;6;67.48;0.301;3.69;339685;9.525
2020;Jember;Tapal Kuda;69.01;10.09;30.023;73.44;13.42;6;67.12;0.318;5.12;365295;9.294
2021;Jember;Tapal Kuda;69.20;10.41;31.781;73.53;13.43;6;69.83;0.336;5.44;380397;9.410
2022;Jember;Tapal Kuda;69.80;9.39;34.265;73.79;13.44;7;74.08;0.301;4.06;400961;9.840
2023;Jember;Tapal Kuda;70.42;9.51;36.837;74.02;13.49;7;73.93;0.344;4.01;441171;10.277
2024;Jember;Tapal Kuda;70.93;9.01;39.464;74.17;13.50;7;74.35;0.321;3.23;459043;10.700
2019;Banyuwangi;Tapal Kuda;70.60;7.52;51.788;70.54;12.78;7;77.8;0.313;3.95;353873;12.264
2020;Banyuwangi;Tapal Kuda;71.85;8.06;47.567;73.35;12.80;7;77.8;0.316;5.34;373679;12.140
